Jurisdiction of Occurrence,MMWR Year,MMWR Week,"covid19_u071_underlying"
New York,2020,2,0
New York,2020,3,0
New York,2020,4,0
New York,2020,5,0
New York,2020,6,
New York,2020,7,0
New York,2020,8,
New York,2020,9,0
New York,2020,10,0
New York,2020,11,
New York,2020,12,42
New York,2020,13,293
New York,2020,14,1103
New York,2020,15,1925
New York,2020,16,1929
New York,2020,17,1520
New York,2020,18,1063
New York,2020,19,811
New York,2020,20,611
New York,2020,21,408
New York,2020,22,291
New York,2020,23,223
New York,2020,24,153
New York,2020,25,102
New York,2020,26,62
New York,2020,27,48
New York,2020,28,47
New York,2020,29,47
New York,2020,30,35
New York,2020,31,31
New York,2020,32,23
New York,2020,33,30
New York,2020,34,23
New York,2020,35,20
New York,2020,36,23
New York,2020,37,21
New York,2020,38,14
New York,2020,39,15
New York,2020,40,39
New York,2020,41,43
New York,2020,42,49
New York,2020,43,60
New York,2020,44,70
New York,2020,45,81
New York,2020,46,143
New York,2020,47,199
New York,2020,48,313
New York,2020,49,385
New York,2020,50,539
New York,2020,51,704
New York,2020,52,772
New York,2020,53,829
New York,2021,1,975
New York,2021,2,972
New York,2021,3,904
New York,2021,4,767
New York,2021,5,683
New York,2021,6,561
New York,2021,7,431
New York,2021,8,321
New York,2021,9,277
New York,2021,10,228
New York,2021,11,208
New York,2021,12,186
New York,2021,13,182
New York,2021,14,184
New York,2021,15,203
New York,2021,16,202
New York,2021,17,146
New York,2021,18,133
New York,2021,19,98
New York,2021,20,87
New York,2021,21,75
New York,2021,22,65
New York,2021,23,54
New York,2021,24,31
New York,2021,25,40
New York,2021,26,16
New York,2021,27,20
New York,2021,28,14
New York,2021,29,13
New York,2021,30,26
New York,2021,31,36
New York,2021,32,74
New York,2021,33,107
New York,2021,34,128
New York,2021,35,150
New York,2021,36,155
New York,2021,37,195
New York,2021,38,192
New York,2021,39,193
New York,2021,40,192
New York,2021,41,203
New York,2021,42,223
New York,2021,43,216
New York,2021,44,207
New York,2021,45,197
New York,2021,46,197
New York,2021,47,240
New York,2021,48,324
New York,2021,49,372
New York,2021,50,377
New York,2021,51,386
New York,2021,52,441
New York,2022,1,571
New York,2022,2,605
New York,2022,3,628
New York,2022,4,550
New York,2022,5,459
New York,2022,6,328
New York,2022,7,219
New York,2022,8,140
New York,2022,9,101
New York,2022,10,71
New York,2022,11,34
New York,2022,12,34
New York City,2020,1,0
New York City,2020,2,0
New York City,2020,3,0
New York City,2020,4,0
New York City,2020,5,0
New York City,2020,6,0
New York City,2020,7,0
New York City,2020,8,0
New York City,2020,9,0
New York City,2020,10,0
New York City,2020,11,
New York City,2020,12,120
New York City,2020,13,906
New York City,2020,14,3100
New York City,2020,15,4573
New York City,2020,16,3651
New York City,2020,17,2484
New York City,2020,18,1620
New York City,2020,19,983
New York City,2020,20,554
New York City,2020,21,369
New York City,2020,22,249
New York City,2020,23,171
New York City,2020,24,110
New York City,2020,25,65
New York City,2020,26,55
New York City,2020,27,36
New York City,2020,28,32
New York City,2020,29,35
New York City,2020,30,31
New York City,2020,31,22
New York City,2020,32,19
New York City,2020,33,20
New York City,2020,34,16
New York City,2020,35,15
New York City,2020,36,16
New York City,2020,37,11
New York City,2020,38,21
New York City,2020,39,15
New York City,2020,40,28
New York City,2020,41,16
New York City,2020,42,35
New York City,2020,43,26
New York City,2020,44,37
New York City,2020,45,60
New York City,2020,46,45
New York City,2020,47,60
New York City,2020,48,62
New York City,2020,49,120
New York City,2020,50,152
New York City,2020,51,205
New York City,2020,52,247
New York City,2020,53,278
New York City,2021,1,351
New York City,2021,2,382
New York City,2021,3,465
New York City,2021,4,471
New York City,2021,5,463
New York City,2021,6,472
New York City,2021,7,430
New York City,2021,8,415
New York City,2021,9,359
New York City,2021,10,373
New York City,2021,11,272
New York City,2021,12,331
New York City,2021,13,314
New York City,2021,14,276
New York City,2021,15,222
New York City,2021,16,206
New York City,2021,17,171
New York City,2021,18,145
New York City,2021,19,119
New York City,2021,20,66
New York City,2021,21,47
New York City,2021,22,37
New York City,2021,23,28
New York City,2021,24,31
New York City,2021,25,20
New York City,2021,26,19
New York City,2021,27,
New York City,2021,28,18
New York City,2021,29,17
New York City,2021,30,22
New York City,2021,31,44
New York City,2021,32,51
New York City,2021,33,61
New York City,2021,34,68
New York City,2021,35,76
New York City,2021,36,90
New York City,2021,37,63
New York City,2021,38,84
New York City,2021,39,79
New York City,2021,40,73
New York City,2021,41,45
New York City,2021,42,54
New York City,2021,43,45
New York City,2021,44,43
New York City,2021,45,47
New York City,2021,46,46
New York City,2021,47,50
New York City,2021,48,60
New York City,2021,49,56
New York City,2021,50,97
New York City,2021,51,142
New York City,2021,52,220
New York City,2022,1,431
New York City,2022,2,604
New York City,2022,3,539
New York City,2022,4,472
New York City,2022,5,305
New York City,2022,6,166
New York City,2022,7,126
New York City,2022,8,55
New York City,2022,9,50
New York City,2022,10,22
New York City,2022,11,12
New York City,2022,12,19
North Carolina,2020,1,0
North Carolina,2020,2,0
North Carolina,2020,3,0
North Carolina,2020,4,0
North Carolina,2020,5,0
North Carolina,2020,6,0
North Carolina,2020,7,0
North Carolina,2020,8,
North Carolina,2020,9,0
North Carolina,2020,10,
North Carolina,2020,11,
North Carolina,2020,12,0
North Carolina,2020,13,
North Carolina,2020,14,41
North Carolina,2020,15,58
North Carolina,2020,16,123
North Carolina,2020,17,113
North Carolina,2020,18,111
North Carolina,2020,19,114
North Carolina,2020,20,90
North Carolina,2020,21,95
North Carolina,2020,22,142
North Carolina,2020,23,114
North Carolina,2020,24,93
North Carolina,2020,25,88
North Carolina,2020,26,94
North Carolina,2020,27,87
North Carolina,2020,28,121
North Carolina,2020,29,144
North Carolina,2020,30,178
North Carolina,2020,31,195
North Carolina,2020,32,179
North Carolina,2020,33,191
North Carolina,2020,34,191
North Carolina,2020,35,172
North Carolina,2020,36,191
North Carolina,2020,37,181
North Carolina,2020,38,205
North Carolina,2020,39,189
North Carolina,2020,40,162
North Carolina,2020,41,188
North Carolina,2020,42,191
North Carolina,2020,43,204
North Carolina,2020,44,254
North Carolina,2020,45,262
North Carolina,2020,46,266
North Carolina,2020,47,251
North Carolina,2020,48,293
North Carolina,2020,49,323
North Carolina,2020,50,433
North Carolina,2020,51,535
North Carolina,2020,52,567
North Carolina,2020,53,694
North Carolina,2021,1,748
North Carolina,2021,2,823
North Carolina,2021,3,809
North Carolina,2021,4,684
North Carolina,2021,5,521
North Carolina,2021,6,448
North Carolina,2021,7,313
North Carolina,2021,8,245
North Carolina,2021,9,165
North Carolina,2021,10,127
North Carolina,2021,11,111
North Carolina,2021,12,108
North Carolina,2021,13,100
North Carolina,2021,14,87
North Carolina,2021,15,92
North Carolina,2021,16,103
North Carolina,2021,17,96
North Carolina,2021,18,123
North Carolina,2021,19,105
North Carolina,2021,20,107
North Carolina,2021,21,90
North Carolina,2021,22,66
North Carolina,2021,23,56
North Carolina,2021,24,43
North Carolina,2021,25,50
North Carolina,2021,26,36
North Carolina,2021,27,31
North Carolina,2021,28,41
North Carolina,2021,29,67
North Carolina,2021,30,110
North Carolina,2021,31,163
North Carolina,2021,32,251
North Carolina,2021,33,401
North Carolina,2021,34,492
North Carolina,2021,35,603
North Carolina,2021,36,584
North Carolina,2021,37,621
North Carolina,2021,38,573
North Carolina,2021,39,484
North Carolina,2021,40,436
North Carolina,2021,41,342
North Carolina,2021,42,318
North Carolina,2021,43,237
North Carolina,2021,44,184
North Carolina,2021,45,132
North Carolina,2021,46,134
North Carolina,2021,47,134
North Carolina,2021,48,143
North Carolina,2021,49,184
North Carolina,2021,50,200
North Carolina,2021,51,222
North Carolina,2021,52,222
North Carolina,2022,1,319
North Carolina,2022,2,424
North Carolina,2022,3,401
North Carolina,2022,4,449
North Carolina,2022,5,318
North Carolina,2022,6,265
North Carolina,2022,7,235
North Carolina,2022,8,145
North Carolina,2022,9,78
North Carolina,2022,10,38
North Carolina,2022,11,31
North Carolina,2022,12,16
North Dakota,2020,1,0
North Dakota,2020,2,0
North Dakota,2020,3,0
North Dakota,2020,4,0
North Dakota,2020,5,0
North Dakota,2020,6,0
North Dakota,2020,7,0
North Dakota,2020,8,0
North Dakota,2020,9,0
North Dakota,2020,10,0
North Dakota,2020,11,0
North Dakota,2020,12,0
North Dakota,2020,13,
North Dakota,2020,14,
North Dakota,2020,15,
North Dakota,2020,16,
North Dakota,2020,17,10
North Dakota,2020,18,
North Dakota,2020,19,10
North Dakota,2020,20,13
North Dakota,2020,21,
North Dakota,2020,22,13
North Dakota,2020,23,
North Dakota,2020,24,
North Dakota,2020,25,
North Dakota,2020,26,
North Dakota,2020,27,
North Dakota,2020,28,
North Dakota,2020,29,
North Dakota,2020,30,
North Dakota,2020,31,
North Dakota,2020,32,
North Dakota,2020,33,14
North Dakota,2020,34,
North Dakota,2020,35,
North Dakota,2020,36,11
North Dakota,2020,37,10
North Dakota,2020,38,16
North Dakota,2020,39,44
North Dakota,2020,40,52
North Dakota,2020,41,64
North Dakota,2020,42,52
North Dakota,2020,43,58
North Dakota,2020,44,84
North Dakota,2020,45,105
North Dakota,2020,46,119
North Dakota,2020,47,131
North Dakota,2020,48,113
North Dakota,2020,49,127
North Dakota,2020,50,83
North Dakota,2020,51,65
North Dakota,2020,52,59
North Dakota,2020,53,30
North Dakota,2021,1,26
North Dakota,2021,2,25
North Dakota,2021,3,14
North Dakota,2021,4,13
North Dakota,2021,5,10
North Dakota,2021,6,
North Dakota,2021,7,
North Dakota,2021,8,
North Dakota,2021,9,
North Dakota,2021,10,
North Dakota,2021,11,0
North Dakota,2021,12,
North Dakota,2021,13,
North Dakota,2021,14,
North Dakota,2021,15,10
North Dakota,2021,16,
North Dakota,2021,17,10
North Dakota,2021,18,
North Dakota,2021,19,
North Dakota,2021,20,
North Dakota,2021,21,
North Dakota,2021,22,
North Dakota,2021,23,
North Dakota,2021,24,
North Dakota,2021,25,
North Dakota,2021,26,
North Dakota,2021,27,
North Dakota,2021,28,
North Dakota,2021,29,
North Dakota,2021,30,
North Dakota,2021,31,
North Dakota,2021,32,
North Dakota,2021,33,
North Dakota,2021,34,
North Dakota,2021,35,
North Dakota,2021,36,19
North Dakota,2021,37,19
North Dakota,2021,38,21
North Dakota,2021,39,29
North Dakota,2021,40,36
North Dakota,2021,41,48
North Dakota,2021,42,54
North Dakota,2021,43,39
North Dakota,2021,44,28
North Dakota,2021,45,45
North Dakota,2021,46,36
North Dakota,2021,47,37
North Dakota,2021,48,54
North Dakota,2021,49,37
North Dakota,2021,50,31
North Dakota,2021,51,24
North Dakota,2021,52,20
North Dakota,2022,1,23
North Dakota,2022,2,26
North Dakota,2022,3,25
North Dakota,2022,4,29
North Dakota,2022,5,24
North Dakota,2022,6,27
North Dakota,2022,7,12
North Dakota,2022,8,22
North Dakota,2022,9,
North Dakota,2022,10,
North Dakota,2022,11,
North Dakota,2022,12,
Ohio,2020,1,0
Ohio,2020,2,0
Ohio,2020,3,0
Ohio,2020,4,0
Ohio,2020,5,0
Ohio,2020,6,0
Ohio,2020,7,0
Ohio,2020,8,0
Ohio,2020,9,0
Ohio,2020,10,0
Ohio,2020,11,
Ohio,2020,12,
Ohio,2020,13,40
Ohio,2020,14,115
Ohio,2020,15,164
Ohio,2020,16,258
Ohio,2020,17,274
Ohio,2020,18,309
Ohio,2020,19,272
Ohio,2020,20,245
Ohio,2020,21,250
Ohio,2020,22,173
Ohio,2020,23,174
Ohio,2020,24,112
Ohio,2020,25,94
Ohio,2020,26,83
Ohio,2020,27,92
Ohio,2020,28,111
Ohio,2020,29,110
Ohio,2020,30,174
Ohio,2020,31,174
Ohio,2020,32,152
Ohio,2020,33,166
Ohio,2020,34,159
Ohio,2020,35,170
Ohio,2020,36,155
Ohio,2020,37,140
Ohio,2020,38,113
Ohio,2020,39,125
Ohio,2020,40,119
Ohio,2020,41,145
Ohio,2020,42,175
Ohio,2020,43,219
Ohio,2020,44,271
Ohio,2020,45,388
Ohio,2020,46,485
Ohio,2020,47,665
Ohio,2020,48,904
Ohio,2020,49,1139
Ohio,2020,50,1297
Ohio,2020,51,1362
Ohio,2020,52,1216
Ohio,2020,53,1117
Ohio,2021,1,976
Ohio,2021,2,946
Ohio,2021,3,766
Ohio,2021,4,631
Ohio,2021,5,513
Ohio,2021,6,366
Ohio,2021,7,314
Ohio,2021,8,219
Ohio,2021,9,189
Ohio,2021,10,164
Ohio,2021,11,115
Ohio,2021,12,100
Ohio,2021,13,100
Ohio,2021,14,133
Ohio,2021,15,106
Ohio,2021,16,164
Ohio,2021,17,123
Ohio,2021,18,117
Ohio,2021,19,103
Ohio,2021,20,106
Ohio,2021,21,90
Ohio,2021,22,79
Ohio,2021,23,65
Ohio,2021,24,57
Ohio,2021,25,41
Ohio,2021,26,31
Ohio,2021,27,30
Ohio,2021,28,34
Ohio,2021,29,40
Ohio,2021,30,47
Ohio,2021,31,66
Ohio,2021,32,124
Ohio,2021,33,189
Ohio,2021,34,240
Ohio,2021,35,323
Ohio,2021,36,402
Ohio,2021,37,528
Ohio,2021,38,602
Ohio,2021,39,593
Ohio,2021,40,575
Ohio,2021,41,586
Ohio,2021,42,550
Ohio,2021,43,491
Ohio,2021,44,399
Ohio,2021,45,388
Ohio,2021,46,458
Ohio,2021,47,584
Ohio,2021,48,693
Ohio,2021,49,796
Ohio,2021,50,877
Ohio,2021,51,848
Ohio,2021,52,899
Ohio,2022,1,1024
Ohio,2022,2,1107
Ohio,2022,3,1019
Ohio,2022,4,862
Ohio,2022,5,672
Ohio,2022,6,499
Ohio,2022,7,378
Ohio,2022,8,231
Ohio,2022,9,169
Ohio,2022,10,89
Ohio,2022,11,63
Ohio,2022,12,23
Oklahoma,2020,1,0
Oklahoma,2020,2,0
Oklahoma,2020,3,
Oklahoma,2020,4,0
Oklahoma,2020,5,0
Oklahoma,2020,6,0
Oklahoma,2020,7,0
Oklahoma,2020,8,0
Oklahoma,2020,9,0
Oklahoma,2020,10,
Oklahoma,2020,11,0
Oklahoma,2020,12,
Oklahoma,2020,13,14
Oklahoma,2020,14,37
Oklahoma,2020,15,48
Oklahoma,2020,16,46
Oklahoma,2020,17,39
Oklahoma,2020,18,44
Oklahoma,2020,19,21
Oklahoma,2020,20,12
Oklahoma,2020,21,17
Oklahoma,2020,22,19
Oklahoma,2020,23,11
Oklahoma,2020,24,12
Oklahoma,2020,25,14
Oklahoma,2020,26,16
Oklahoma,2020,27,19
Oklahoma,2020,28,30
Oklahoma,2020,29,45
Oklahoma,2020,30,57
Oklahoma,2020,31,67
Oklahoma,2020,32,69
Oklahoma,2020,33,72
Oklahoma,2020,34,65
Oklahoma,2020,35,61
Oklahoma,2020,36,64
Oklahoma,2020,37,68
Oklahoma,2020,38,65
Oklahoma,2020,39,72
Oklahoma,2020,40,68
Oklahoma,2020,41,102
Oklahoma,2020,42,99
Oklahoma,2020,43,144
Oklahoma,2020,44,139
Oklahoma,2020,45,173
Oklahoma,2020,46,220
Oklahoma,2020,47,259
Oklahoma,2020,48,329
Oklahoma,2020,49,424
Oklahoma,2020,50,407
Oklahoma,2020,51,376
Oklahoma,2020,52,393
Oklahoma,2020,53,427
Oklahoma,2021,1,434
Oklahoma,2021,2,420
Oklahoma,2021,3,408
Oklahoma,2021,4,339
Oklahoma,2021,5,232
Oklahoma,2021,6,173
Oklahoma,2021,7,156
Oklahoma,2021,8,125
Oklahoma,2021,9,90
Oklahoma,2021,10,54
Oklahoma,2021,11,46
Oklahoma,2021,12,42
Oklahoma,2021,13,29
Oklahoma,2021,14,42
Oklahoma,2021,15,30
Oklahoma,2021,16,25
Oklahoma,2021,17,10
Oklahoma,2021,18,26
Oklahoma,2021,19,24
Oklahoma,2021,20,13
Oklahoma,2021,21,21
Oklahoma,2021,22,12
Oklahoma,2021,23,27
Oklahoma,2021,24,19
Oklahoma,2021,25,22
Oklahoma,2021,26,19
Oklahoma,2021,27,24
Oklahoma,2021,28,31
Oklahoma,2021,29,54
Oklahoma,2021,30,86
Oklahoma,2021,31,145
Oklahoma,2021,32,188
Oklahoma,2021,33,262
Oklahoma,2021,34,237
Oklahoma,2021,35,310
Oklahoma,2021,36,284
Oklahoma,2021,37,269
Oklahoma,2021,38,238
Oklahoma,2021,39,221
Oklahoma,2021,40,160
Oklahoma,2021,41,144
Oklahoma,2021,42,116
Oklahoma,2021,43,109
Oklahoma,2021,44,88
Oklahoma,2021,45,76
Oklahoma,2021,46,76
Oklahoma,2021,47,75
Oklahoma,2021,48,100
Oklahoma,2021,49,106
Oklahoma,2021,50,120
Oklahoma,2021,51,121
Oklahoma,2021,52,149
Oklahoma,2022,1,180
Oklahoma,2022,2,236
Oklahoma,2022,3,315
Oklahoma,2022,4,344
Oklahoma,2022,5,344
Oklahoma,2022,6,266
Oklahoma,2022,7,188
Oklahoma,2022,8,103
Oklahoma,2022,9,84
Oklahoma,2022,10,29
Oklahoma,2022,11,22
Oklahoma,2022,12,21
Oregon,2020,1,0
Oregon,2020,2,0
Oregon,2020,3,0
Oregon,2020,4,0
Oregon,2020,5,0
Oregon,2020,6,0
Oregon,2020,7,0
Oregon,2020,8,0
Oregon,2020,9,0
Oregon,2020,10,0
Oregon,2020,11,
Oregon,2020,12,
Oregon,2020,13,14
Oregon,2020,14,24
Oregon,2020,15,24
Oregon,2020,16,25
Oregon,2020,17,28
Oregon,2020,18,13
Oregon,2020,19,17
Oregon,2020,20,12
Oregon,2020,21,
Oregon,2020,22,10
Oregon,2020,23,
Oregon,2020,24,14
Oregon,2020,25,10
Oregon,2020,26,13
Oregon,2020,27,19
Oregon,2020,28,14
Oregon,2020,29,25
Oregon,2020,30,24
Oregon,2020,31,29
Oregon,2020,32,25
Oregon,2020,33,27
Oregon,2020,34,22
Oregon,2020,35,29
Oregon,2020,36,18
Oregon,2020,37,20
Oregon,2020,38,14
Oregon,2020,39,17
Oregon,2020,40,17
Oregon,2020,41,20
Oregon,2020,42,29
Oregon,2020,43,25
Oregon,2020,44,24
Oregon,2020,45,28
Oregon,2020,46,49
Oregon,2020,47,79
Oregon,2020,48,100
Oregon,2020,49,116
Oregon,2020,50,131
Oregon,2020,51,108
Oregon,2020,52,101
Oregon,2020,53,102
Oregon,2021,1,102
Oregon,2021,2,81
Oregon,2021,3,87
Oregon,2021,4,75
Oregon,2021,5,56
Oregon,2021,6,39
Oregon,2021,7,31
Oregon,2021,8,27
Oregon,2021,9,29
Oregon,2021,10,11
Oregon,2021,11,20
Oregon,2021,12,28
Oregon,2021,13,19
Oregon,2021,14,23
Oregon,2021,15,20
Oregon,2021,16,22
Oregon,2021,17,31
Oregon,2021,18,41
Oregon,2021,19,50
Oregon,2021,20,49
Oregon,2021,21,30
Oregon,2021,22,31
Oregon,2021,23,22
Oregon,2021,24,25
Oregon,2021,25,15
Oregon,2021,26,14
Oregon,2021,27,14
Oregon,2021,28,17
Oregon,2021,29,20
Oregon,2021,30,28
Oregon,2021,31,52
Oregon,2021,32,82
Oregon,2021,33,143
Oregon,2021,34,180
Oregon,2021,35,236
Oregon,2021,36,210
Oregon,2021,37,201
Oregon,2021,38,192
Oregon,2021,39,149
Oregon,2021,40,152
Oregon,2021,41,108
Oregon,2021,42,119
Oregon,2021,43,112
Oregon,2021,44,91
Oregon,2021,45,73
Oregon,2021,46,81
Oregon,2021,47,79
Oregon,2021,48,69
Oregon,2021,49,64
Oregon,2021,50,61
Oregon,2021,51,59
Oregon,2021,52,65
Oregon,2022,1,73
Oregon,2022,2,93
Oregon,2022,3,128
Oregon,2022,4,149
Oregon,2022,5,133
Oregon,2022,6,129
Oregon,2022,7,103
Oregon,2022,8,82
Oregon,2022,9,51
Oregon,2022,10,26
Oregon,2022,11,12
Oregon,2022,12,
Pennsylvania,2020,1,0
Pennsylvania,2020,2,0
Pennsylvania,2020,3,0
Pennsylvania,2020,4,0
Pennsylvania,2020,5,0
Pennsylvania,2020,6,0
Pennsylvania,2020,7,0
Pennsylvania,2020,8,0
Pennsylvania,2020,9,0
Pennsylvania,2020,10,0
Pennsylvania,2020,11,0
Pennsylvania,2020,12,
Pennsylvania,2020,13,52
Pennsylvania,2020,14,199
Pennsylvania,2020,15,623
Pennsylvania,2020,16,867
Pennsylvania,2020,17,1005
Pennsylvania,2020,18,902
Pennsylvania,2020,19,797
Pennsylvania,2020,20,668
Pennsylvania,2020,21,475
Pennsylvania,2020,22,328
Pennsylvania,2020,23,249
Pennsylvania,2020,24,174
Pennsylvania,2020,25,149
Pennsylvania,2020,26,125
Pennsylvania,2020,27,109
Pennsylvania,2020,28,104
Pennsylvania,2020,29,92
Pennsylvania,2020,30,86
Pennsylvania,2020,31,91
Pennsylvania,2020,32,119
Pennsylvania,2020,33,108
Pennsylvania,2020,34,90
Pennsylvania,2020,35,91
Pennsylvania,2020,36,65
Pennsylvania,2020,37,82
Pennsylvania,2020,38,77
Pennsylvania,2020,39,74
Pennsylvania,2020,40,109
Pennsylvania,2020,41,129
Pennsylvania,2020,42,128
Pennsylvania,2020,43,143
Pennsylvania,2020,44,178
Pennsylvania,2020,45,272
Pennsylvania,2020,46,381
Pennsylvania,2020,47,584
Pennsylvania,2020,48,818
Pennsylvania,2020,49,1057
Pennsylvania,2020,50,1312
Pennsylvania,2020,51,1367
Pennsylvania,2020,52,1428
Pennsylvania,2020,53,1370
Pennsylvania,2021,1,1165
Pennsylvania,2021,2,1011
Pennsylvania,2021,3,919
Pennsylvania,2021,4,772
Pennsylvania,2021,5,583
Pennsylvania,2021,6,454
Pennsylvania,2021,7,377
Pennsylvania,2021,8,272
Pennsylvania,2021,9,209
Pennsylvania,2021,10,183
Pennsylvania,2021,11,167
Pennsylvania,2021,12,174
Pennsylvania,2021,13,182
Pennsylvania,2021,14,213
Pennsylvania,2021,15,283
Pennsylvania,2021,16,300
Pennsylvania,2021,17,241
Pennsylvania,2021,18,237
Pennsylvania,2021,19,184
Pennsylvania,2021,20,165
Pennsylvania,2021,21,128
Pennsylvania,2021,22,98
Pennsylvania,2021,23,85
Pennsylvania,2021,24,67
Pennsylvania,2021,25,34
Pennsylvania,2021,26,29
Pennsylvania,2021,27,29
Pennsylvania,2021,28,26
Pennsylvania,2021,29,24
Pennsylvania,2021,30,42
Pennsylvania,2021,31,56
Pennsylvania,2021,32,78
Pennsylvania,2021,33,114
Pennsylvania,2021,34,180
Pennsylvania,2021,35,220
Pennsylvania,2021,36,242
Pennsylvania,2021,37,290
Pennsylvania,2021,38,340
Pennsylvania,2021,39,387
Pennsylvania,2021,40,444
Pennsylvania,2021,41,482
Pennsylvania,2021,42,462
Pennsylvania,2021,43,477
Pennsylvania,2021,44,416
Pennsylvania,2021,45,445
Pennsylvania,2021,46,467
Pennsylvania,2021,47,548
Pennsylvania,2021,48,673
Pennsylvania,2021,49,731
Pennsylvania,2021,50,771
Pennsylvania,2021,51,747
Pennsylvania,2021,52,748
Pennsylvania,2022,1,855
Pennsylvania,2022,2,973
Pennsylvania,2022,3,922
Pennsylvania,2022,4,791
Pennsylvania,2022,5,629
Pennsylvania,2022,6,446
Pennsylvania,2022,7,313
Pennsylvania,2022,8,218
Pennsylvania,2022,9,139
Pennsylvania,2022,10,80
Pennsylvania,2022,11,60
Pennsylvania,2022,12,40
Rhode Island,2020,1,0
Rhode Island,2020,2,0
Rhode Island,2020,3,0
Rhode Island,2020,4,0
Rhode Island,2020,5,0
Rhode Island,2020,6,0
Rhode Island,2020,7,0
Rhode Island,2020,8,0
Rhode Island,2020,9,0
Rhode Island,2020,10,0
Rhode Island,2020,11,0
Rhode Island,2020,12,0
Rhode Island,2020,13,
Rhode Island,2020,14,17
Rhode Island,2020,15,42
Rhode Island,2020,16,78
Rhode Island,2020,17,95
Rhode Island,2020,18,118
Rhode Island,2020,19,122
Rhode Island,2020,20,100
Rhode Island,2020,21,88
Rhode Island,2020,22,62
Rhode Island,2020,23,44
Rhode Island,2020,24,23
Rhode Island,2020,25,28
Rhode Island,2020,26,19
Rhode Island,2020,27,15
Rhode Island,2020,28,
Rhode Island,2020,29,
Rhode Island,2020,30,
Rhode Island,2020,31,
Rhode Island,2020,32,
Rhode Island,2020,33,
Rhode Island,2020,34,13
Rhode Island,2020,35,
Rhode Island,2020,36,
Rhode Island,2020,37,
Rhode Island,2020,38,12
Rhode Island,2020,39,
Rhode Island,2020,40,
Rhode Island,2020,41,18
Rhode Island,2020,42,23
Rhode Island,2020,43,18
Rhode Island,2020,44,20
Rhode Island,2020,45,22
Rhode Island,2020,46,33
Rhode Island,2020,47,39
Rhode Island,2020,48,60
Rhode Island,2020,49,62
Rhode Island,2020,50,124
Rhode Island,2020,51,116
Rhode Island,2020,52,83
Rhode Island,2020,53,82
Rhode Island,2021,1,90
Rhode Island,2021,2,76
Rhode Island,2021,3,81
Rhode Island,2021,4,71
Rhode Island,2021,5,52
Rhode Island,2021,6,52
Rhode Island,2021,7,24
Rhode Island,2021,8,17
Rhode Island,2021,9,10
Rhode Island,2021,10,19
Rhode Island,2021,11,19
Rhode Island,2021,12,
Rhode Island,2021,13,10
Rhode Island,2021,14,
Rhode Island,2021,15,14
Rhode Island,2021,16,
Rhode Island,2021,17,18
Rhode Island,2021,18,
Rhode Island,2021,19,
Rhode Island,2021,20,
Rhode Island,2021,21,
Rhode Island,2021,22,
Rhode Island,2021,23,
Rhode Island,2021,24,
Rhode Island,2021,25,
Rhode Island,2021,26,
Rhode Island,2021,27,
Rhode Island,2021,28,0
Rhode Island,2021,29,
Rhode Island,2021,30,
Rhode Island,2021,31,
Rhode Island,2021,32,
Rhode Island,2021,33,
Rhode Island,2021,34,10
Rhode Island,2021,35,10
Rhode Island,2021,36,26
Rhode Island,2021,37,10
Rhode Island,2021,38,
Rhode Island,2021,39,11
Rhode Island,2021,40,11
Rhode Island,2021,41,
Rhode Island,2021,42,13
Rhode Island,2021,43,
Rhode Island,2021,44,
Rhode Island,2021,45,13
Rhode Island,2021,46,15
Rhode Island,2021,47,17
Rhode Island,2021,48,20
Rhode Island,2021,49,33
Rhode Island,2021,50,27
Rhode Island,2021,51,44
Rhode Island,2021,52,45
Rhode Island,2022,1,47
Rhode Island,2022,2,57
Rhode Island,2022,3,69
Rhode Island,2022,4,68
Rhode Island,2022,5,39
Rhode Island,2022,6,29
Rhode Island,2022,7,18
Rhode Island,2022,8,15
Rhode Island,2022,9,
Rhode Island,2022,10,
Rhode Island,2022,11,
Rhode Island,2022,12,
South Carolina,2020,1,0
South Carolina,2020,2,0
South Carolina,2020,3,0
South Carolina,2020,4,0
South Carolina,2020,5,0
South Carolina,2020,6,0
South Carolina,2020,7,0
South Carolina,2020,8,0
South Carolina,2020,9,0
South Carolina,2020,10,0
South Carolina,2020,11,0
South Carolina,2020,12,
South Carolina,2020,13,17
South Carolina,2020,14,35
South Carolina,2020,15,51
South Carolina,2020,16,43
South Carolina,2020,17,62
South Carolina,2020,18,61
South Carolina,2020,19,69
South Carolina,2020,20,66
South Carolina,2020,21,56
South Carolina,2020,22,60
South Carolina,2020,23,58
South Carolina,2020,24,43
South Carolina,2020,25,52
South Carolina,2020,26,77
South Carolina,2020,27,114
South Carolina,2020,28,135
South Carolina,2020,29,205
South Carolina,2020,30,303
South Carolina,2020,31,271
South Carolina,2020,32,246
South Carolina,2020,33,212
South Carolina,2020,34,186
South Carolina,2020,35,180
South Carolina,2020,36,154
South Carolina,2020,37,123
South Carolina,2020,38,123
South Carolina,2020,39,108
South Carolina,2020,40,97
South Carolina,2020,41,82
South Carolina,2020,42,109
South Carolina,2020,43,118
South Carolina,2020,44,111
South Carolina,2020,45,105
South Carolina,2020,46,104
South Carolina,2020,47,110
South Carolina,2020,48,127
South Carolina,2020,49,178
South Carolina,2020,50,168
South Carolina,2020,51,230
South Carolina,2020,52,290
South Carolina,2020,53,342
South Carolina,2021,1,413
