Jurisdiction of Occurrence,MMWR Year,MMWR Week,covid19_u071_multi,covid19_u071_underlying
Alabama,2020,12,,
Alabama,2020,13,23,20
Alabama,2020,14,49,45
Alabama,2020,15,81,77
Alabama,2020,16,89,85
Alabama,2020,17,85,78
Alabama,2020,18,81,75
Alabama,2020,19,116,105
Alabama,2020,20,96,89
Alabama,2020,21,82,78
Alabama,2020,22,103,99
Alabama,2020,23,91,86
Alabama,2020,24,81,75
Alabama,2020,25,88,81
Alabama,2020,26,103,95
Alabama,2020,27,125,119
Alabama,2020,28,135,122
Alabama,2020,29,192,172
Alabama,2020,30,251,241
Alabama,2020,31,263,238
Alabama,2020,32,264,253
Alabama,2020,33,230,214
Alabama,2020,34,209,197
Alabama,2020,35,185,175
Alabama,2020,36,156,142
Alabama,2020,37,138,130
Alabama,2020,38,139,134
Alabama,2020,39,105,100
Alabama,2020,40,111,99
Alabama,2020,41,137,127
Alabama,2020,42,126,112
Alabama,2020,43,119,112
Alabama,2020,44,131,119
Alabama,2020,45,151,141
Alabama,2020,46,176,165
Alabama,2020,47,168,155
Alabama,2020,48,202,186
Alabama,2020,49,251,239
Alabama,2020,50,378,362
Alabama,2020,51,390,363
Alabama,2020,52,452,422
Alabama,2020,53,509,480
Alabama,2021,1,546,527
Alabama,2021,2,594,568
Alabama,2021,3,576,544
Alabama,2021,4,487,457
Alabama,2021,5,344,331
Alabama,2021,6,262,246
Alabama,2021,7,214,192
Alabama,2021,8,170,152
Alabama,2021,9,109,92
Alabama,2021,10,103,92
Alabama,2021,11,81,72
Alabama,2021,12,78,68
Alabama,2021,13,66,56
Alabama,2021,14,53,49
Alabama,2021,15,42,37
Alabama,2021,16,45,38
Alabama,2021,17,46,41
Alabama,2021,18,63,60
Alabama,2021,19,50,46
Alabama,2021,20,48,39
Alabama,2021,21,32,24
Alabama,2021,22,36,31
Alabama,2021,23,33,30
Alabama,2021,24,24,17
Alabama,2021,25,36,28
Alabama,2021,26,21,20
Alabama,2021,27,36,34
Alabama,2021,28,42,40
Alabama,2021,29,63,57
Alabama,2021,30,104,98
Alabama,2021,31,221,207
Alabama,2021,32,334,318
Alabama,2021,33,406,390
Alabama,2021,34,450,435
Alabama,2021,35,453,436
Alabama,2021,36,488,476
Alabama,2021,37,384,371
Alabama,2021,38,237,226
Alaska,2020,1,0,0
Alaska,2020,2,0,0
Alaska,2020,3,0,0
Alaska,2020,4,0,0
Alaska,2020,5,0,0
Alaska,2020,6,0,0
Alaska,2020,7,0,0
Alaska,2020,8,0,0
Alaska,2020,9,0,0
Alaska,2020,10,0,0
Alaska,2020,11,0,0
Alaska,2020,12,0,0
Alaska,2020,13,,
Alaska,2020,14,,
Alaska,2020,15,,
Alaska,2020,16,,
Alaska,2020,17,0,0
Alaska,2020,18,0,0
Alaska,2020,19,,0
Alaska,2020,20,0,0
Alaska,2020,21,0,0
Alaska,2020,22,0,0
Alaska,2020,23,0,0
Alaska,2020,24,,
Alaska,2020,25,0,0
Alaska,2020,26,0,0
Alaska,2020,27,,
Alaska,2020,28,,
Alaska,2020,29,,
Alaska,2020,30,,
Alaska,2020,31,,
Alaska,2020,32,,
Alaska,2020,33,,
Alaska,2020,34,,
Alaska,2020,35,,
Alaska,2020,36,,
Alaska,2020,37,,
Alaska,2020,38,,
Alaska,2020,39,,
Alaska,2020,40,,
Alaska,2020,41,,
Alaska,2020,42,10,
Alaska,2020,43,,
Alaska,2020,44,10,
Alaska,2020,45,,
Alaska,2020,46,16,15
Alaska,2020,47,15,13
Alaska,2020,48,21,16
Alaska,2020,49,31,29
Alaska,2020,50,24,22
Alaska,2020,51,20,19
Alaska,2020,52,24,19
Alaska,2020,53,10,10
Alaska,2021,1,13,12
Alaska,2021,2,,
Alaska,2021,3,,
Alaska,2021,4,,
Alaska,2021,5,,
Alaska,2021,6,,
Alaska,2021,7,,
Alaska,2021,8,,
Alaska,2021,9,,
Alaska,2021,10,,
Alaska,2021,11,,
Alaska,2021,12,,
Alaska,2021,13,,
Alaska,2021,14,,
Alaska,2021,15,,
Alaska,2021,16,,
Alaska,2021,17,,
Alaska,2021,18,11,10
Alaska,2021,19,,
Alaska,2021,20,,
Alaska,2021,21,,
Alaska,2021,22,,
Alaska,2021,23,,
Alaska,2021,24,0,0
Alaska,2021,25,,
Alaska,2021,26,,
Alaska,2021,27,,
Alaska,2021,28,0,0
Alaska,2021,29,,
Alaska,2021,30,15,14
Alaska,2021,31,23,20
Alaska,2021,32,16,16
Alaska,2021,33,23,22
Alaska,2021,34,13,11
Alaska,2021,35,24,22
Alaska,2021,36,19,18
Alaska,2021,37,19,16
Alaska,2021,38,14,14
Arizona,2020,1,0,0
Arizona,2020,2,0,0
Arizona,2020,3,0,0
Arizona,2020,4,0,0
Arizona,2020,5,0,0
Arizona,2020,6,0,0
Arizona,2020,7,0,0
Arizona,2020,8,0,0
Arizona,2020,9,0,0
Arizona,2020,10,0,0
Arizona,2020,11,,0
Arizona,2020,12,,
Arizona,2020,13,31,29
Arizona,2020,14,58,55
Arizona,2020,15,91,88
Arizona,2020,16,96,87
Arizona,2020,17,106,99
Arizona,2020,18,106,96
Arizona,2020,19,126,121
Arizona,2020,20,118,111
Arizona,2020,21,99,90
Arizona,2020,22,116,101
Arizona,2020,23,132,127
Arizona,2020,24,173,154
Arizona,2020,25,207,193
Arizona,2020,26,258,239
Arizona,2020,27,388,359
Arizona,2020,28,508,479
Arizona,2020,29,548,509
Arizona,2020,30,477,450
Arizona,2020,31,390,362
Arizona,2020,32,305,279
Arizona,2020,33,249,232
Arizona,2020,34,174,155
Arizona,2020,35,129,113
Arizona,2020,36,96,80
Arizona,2020,37,61,56
Arizona,2020,38,66,55
Arizona,2020,39,56,44
Arizona,2020,40,35,30
Arizona,2020,41,53,47
Arizona,2020,42,47,39
Arizona,2020,43,63,57
Arizona,2020,44,82,71
Arizona,2020,45,125,102
Arizona,2020,46,124,113
Arizona,2020,47,203,182
Arizona,2020,48,307,286
Arizona,2020,49,416,387
Arizona,2020,50,574,526
Arizona,2020,51,734,682
Arizona,2020,52,765,708
Arizona,2020,53,881,815
Arizona,2021,1,941,890
Arizona,2021,2,993,936
Arizona,2021,3,956,891
Arizona,2021,4,765,706
Arizona,2021,5,629,585
Arizona,2021,6,488,442
Arizona,2021,7,338,307
Arizona,2021,8,237,212
Arizona,2021,9,184,158
Arizona,2021,10,128,103
Arizona,2021,11,121,94
Arizona,2021,12,75,62
Arizona,2021,13,56,48
Arizona,2021,14,64,53
Arizona,2021,15,57,47
Arizona,2021,16,42,38
Arizona,2021,17,54,47
Arizona,2021,18,63,56
Arizona,2021,19,56,47
Arizona,2021,20,54,46
Arizona,2021,21,48,37
Arizona,2021,22,40,34
Arizona,2021,23,35,27
Arizona,2021,24,44,33
Arizona,2021,25,44,39
Arizona,2021,26,40,34
Arizona,2021,27,41,35
Arizona,2021,28,54,49
Arizona,2021,29,69,64
Arizona,2021,30,109,100
Arizona,2021,31,123,115
Arizona,2021,32,158,143
Arizona,2021,33,173,164
Arizona,2021,34,205,195
Arizona,2021,35,259,243
Arizona,2021,36,259,246
Arizona,2021,37,218,203
Arizona,2021,38,196,189
Arkansas,2020,1,0,0
Arkansas,2020,2,0,0
Arkansas,2020,3,0,0
Arkansas,2020,4,0,0
Arkansas,2020,5,0,0
Arkansas,2020,6,0,0
Arkansas,2020,7,0,0
Arkansas,2020,8,0,0
Arkansas,2020,9,0,0
Arkansas,2020,10,0,0
Arkansas,2020,11,0,0
Arkansas,2020,12,0,0
Arkansas,2020,13,,
Arkansas,2020,14,11,11
Arkansas,2020,15,14,12
Arkansas,2020,16,12,11
Arkansas,2020,17,14,12
Arkansas,2020,18,22,18
Arkansas,2020,19,24,20
Arkansas,2020,20,,
Arkansas,2020,21,20,15
Arkansas,2020,22,19,14
Arkansas,2020,23,26,18
Arkansas,2020,24,34,33
Arkansas,2020,25,45,36
Arkansas,2020,26,47,38
Arkansas,2020,27,41,36
Arkansas,2020,28,47,42
Arkansas,2020,29,57,53
Arkansas,2020,30,74,67
Arkansas,2020,31,88,77
Arkansas,2020,32,91,81
Arkansas,2020,33,92,76
Arkansas,2020,34,99,84
Arkansas,2020,35,95,88
Arkansas,2020,36,88,81
Arkansas,2020,37,105,87
Arkansas,2020,38,81,65
Arkansas,2020,39,94,81
Arkansas,2020,40,116,99
Arkansas,2020,41,140,130
Arkansas,2020,42,147,126
Arkansas,2020,43,148,124
Arkansas,2020,44,147,127
Arkansas,2020,45,150,130
Arkansas,2020,46,195,168
Arkansas,2020,47,198,167
Arkansas,2020,48,232,207
Arkansas,2020,49,266,244
Arkansas,2020,50,222,207
Arkansas,2020,51,260,241
Arkansas,2020,52,255,218
Arkansas,2020,53,280,255
Arkansas,2021,1,260,244
Arkansas,2021,2,303,267
Arkansas,2021,3,284,256
Arkansas,2021,4,218,186
Arkansas,2021,5,170,145
Arkansas,2021,6,130,117
Arkansas,2021,7,101,87
Arkansas,2021,8,86,75
Arkansas,2021,9,73,62
Arkansas,2021,10,50,41
Arkansas,2021,11,40,36
Arkansas,2021,12,33,24
Arkansas,2021,13,21,17
Arkansas,2021,14,26,20
Arkansas,2021,15,16,11
Arkansas,2021,16,13,12
Arkansas,2021,17,18,12
Arkansas,2021,18,22,17
Arkansas,2021,19,29,25
Arkansas,2021,20,20,16
Arkansas,2021,21,15,12
Arkansas,2021,22,21,18
Arkansas,2021,23,20,17
Arkansas,2021,24,31,26
Arkansas,2021,25,34,31
Arkansas,2021,26,45,39
Arkansas,2021,27,61,56
Arkansas,2021,28,73,66
Arkansas,2021,29,117,107
Arkansas,2021,30,138,123
Arkansas,2021,31,189,177
Arkansas,2021,32,227,211
Arkansas,2021,33,225,210
Arkansas,2021,34,209,188
Arkansas,2021,35,203,185
Arkansas,2021,36,177,169
Arkansas,2021,37,151,143
Arkansas,2021,38,108,99
California,2020,1,0,0
California,2020,2,0,0
California,2020,3,,0
California,2020,4,0,0
California,2020,5,0,0
California,2020,6,,0
California,2020,7,0,0
California,2020,8,,
California,2020,9,0,0
California,2020,10,,
California,2020,11,,
California,2020,12,44,41
California,2020,13,132,128
California,2020,14,290,275
California,2020,15,382,370
California,2020,16,536,521
California,2020,17,530,513
California,2020,18,543,524
California,2020,19,552,524
California,2020,20,505,481
California,2020,21,487,465
California,2020,22,463,443
California,2020,23,447,424
California,2020,24,446,414
California,2020,25,456,418
California,2020,26,495,452
California,2020,27,644,599
California,2020,28,739,695
California,2020,29,891,832
California,2020,30,1008,920
California,2020,31,1009,950
California,2020,32,997,931
California,2020,33,876,808
California,2020,34,828,762
California,2020,35,727,669
California,2020,36,611,547
California,2020,37,530,481
California,2020,38,480,441
California,2020,39,453,406
California,2020,40,345,309
California,2020,41,375,334
California,2020,42,302,259
California,2020,43,294,267
California,2020,44,324,291
California,2020,45,352,317
California,2020,46,450,402
California,2020,47,626,577
California,2020,48,851,790
California,2020,49,1320,1226
California,2020,50,1968,1846
California,2020,51,2933,2762
California,2020,52,3918,3703
California,2020,53,4683,4470
California,2021,1,5254,5000
California,2021,2,5065,4776
California,2021,3,4344,4089
California,2021,4,3518,3316
California,2021,5,2888,2713
California,2021,6,2260,2083
California,2021,7,1658,1519
California,2021,8,1182,1095
California,2021,9,835,743
California,2021,10,603,520
California,2021,11,499,427
California,2021,12,365,298
California,2021,13,278,213
California,2021,14,265,223
California,2021,15,227,184
California,2021,16,217,170
California,2021,17,191,134
California,2021,18,181,128
California,2021,19,154,122
California,2021,20,153,120
California,2021,21,141,106
California,2021,22,115,95
California,2021,23,103,71
California,2021,24,110,85
California,2021,25,84,69
California,2021,26,97,76
California,2021,27,119,94
California,2021,28,138,116
California,2021,29,206,172
California,2021,30,283,255
California,2021,31,419,389
California,2021,32,635,593
California,2021,33,802,742
California,2021,34,946,892
California,2021,35,988,929
California,2021,36,987,929
California,2021,37,709,671
California,2021,38,395,370
Colorado,2020,1,0,0
Colorado,2020,2,0,0
Colorado,2020,3,0,0
Colorado,2020,4,0,0
Colorado,2020,5,0,0
Colorado,2020,6,0,0
Colorado,2020,7,0,0
Colorado,2020,8,0,0
Colorado,2020,9,0,0
Colorado,2020,10,0,0
Colorado,2020,11,,
Colorado,2020,12,17,12
Colorado,2020,13,47,45
Colorado,2020,14,129,124
Colorado,2020,15,214,202
Colorado,2020,16,218,197
Colorado,2020,17,224,211
Colorado,2020,18,189,174
Colorado,2020,19,139,127
Colorado,2020,20,97,81
Colorado,2020,21,93,79
Colorado,2020,22,75,66
Colorado,2020,23,63,49
Colorado,2020,24,59,48
Colorado,2020,25,38,30
Colorado,2020,26,22,15
Colorado,2020,27,25,23
Colorado,2020,28,28,21
Colorado,2020,29,43,31
Colorado,2020,30,33,27
Colorado,2020,31,36,29
Colorado,2020,32,39,34
Colorado,2020,33,28,23
Colorado,2020,34,19,15
Colorado,2020,35,29,24
Colorado,2020,36,20,17
Colorado,2020,37,33,27
Colorado,2020,38,21,20
Colorado,2020,39,24,17
Colorado,2020,40,35,28
Colorado,2020,41,38,34
Colorado,2020,42,41,34
Colorado,2020,43,62,57
Colorado,2020,44,96,86
Colorado,2020,45,167,148
Colorado,2020,46,228,197
Colorado,2020,47,267,230
Colorado,2020,48,348,306
Colorado,2020,49,448,390
Colorado,2020,50,428,366
Colorado,2020,51,402,351
Colorado,2020,52,308,266
Colorado,2020,53,263,209
Colorado,2021,1,211,177
Colorado,2021,2,165,138
Colorado,2021,3,158,122
Colorado,2021,4,141,108
Colorado,2021,5,117,94
Colorado,2021,6,100,80
Colorado,2021,7,64,51
Colorado,2021,8,59,46
Colorado,2021,9,51,39
Colorado,2021,10,49,37
Colorado,2021,11,45,30
Colorado,2021,12,43,32
Colorado,2021,13,48,39
Colorado,2021,14,26,19
Colorado,2021,15,62,52
Colorado,2021,16,56,41
Colorado,2021,17,54,44
Colorado,2021,18,71,61
Colorado,2021,19,93,80
Colorado,2021,20,69,60
Colorado,2021,21,63,54
Colorado,2021,22,68,58
Colorado,2021,23,48,40
Colorado,2021,24,42,37
Colorado,2021,25,42,30
Colorado,2021,26,43,35
Colorado,2021,27,53,43
Colorado,2021,28,38,34
Colorado,2021,29,45,41
Colorado,2021,30,42,37
Colorado,2021,31,41,33
Colorado,2021,32,62,57
Colorado,2021,33,84,73
Colorado,2021,34,94,78
Colorado,2021,35,103,96
Colorado,2021,36,91,84
Colorado,2021,37,95,85
Colorado,2021,38,53,48
Connecticut,2020,1,0,0
Connecticut,2020,2,0,0
Connecticut,2020,3,0,0
Connecticut,2020,4,0,0
Connecticut,2020,5,0,0
Connecticut,2020,6,0,0
Connecticut,2020,7,0,0
Connecticut,2020,8,0,0
Connecticut,2020,9,0,0
Connecticut,2020,10,0,0
Connecticut,2020,11,0,0
Connecticut,2020,12,11,10
Connecticut,2020,13,49,46
Connecticut,2020,14,215,208
Connecticut,2020,15,526,503
Connecticut,2020,16,686,659
Connecticut,2020,17,686,659
Connecticut,2020,18,576,548
Connecticut,2020,19,468,443
Connecticut,2020,20,383,364
Connecticut,2020,21,284,258
Connecticut,2020,22,211,191
Connecticut,2020,23,120,104
Connecticut,2020,24,87,69
Connecticut,2020,25,44,35
Connecticut,2020,26,44,33
Connecticut,2020,27,24,18
Connecticut,2020,28,25,17
Connecticut,2020,29,15,12
Connecticut,2020,30,16,13
Connecticut,2020,31,10,
Connecticut,2020,32,,
Connecticut,2020,33,,
Connecticut,2020,34,,
Connecticut,2020,35,,
Connecticut,2020,36,,
Connecticut,2020,37,,
Connecticut,2020,38,12,11
Connecticut,2020,39,,
Connecticut,2020,40,16,16
Connecticut,2020,41,16,13
Connecticut,2020,42,30,28
Connecticut,2020,43,32,30
Connecticut,2020,44,62,55
Connecticut,2020,45,67,58
Connecticut,2020,46,79,67
Connecticut,2020,47,130,121
Connecticut,2020,48,165,155
Connecticut,2020,49,217,203
Connecticut,2020,50,226,207
Connecticut,2020,51,253,231
Connecticut,2020,52,239,224
Connecticut,2020,53,298,275
Connecticut,2021,1,242,221
Connecticut,2021,2,249,219
Connecticut,2021,3,252,234
Connecticut,2021,4,185,168
Connecticut,2021,5,178,161
Connecticut,2021,6,144,130
Connecticut,2021,7,91,78
Connecticut,2021,8,80,72
Connecticut,2021,9,66,54
Connecticut,2021,10,64,52
Connecticut,2021,11,51,47
Connecticut,2021,12,46,38
Connecticut,2021,13,48,42
Connecticut,2021,14,39,37
Connecticut,2021,15,42,40
Connecticut,2021,16,51,46
Connecticut,2021,17,48,38
Connecticut,2021,18,39,37
Connecticut,2021,19,35,28
Connecticut,2021,20,17,16
Connecticut,2021,21,16,16
Connecticut,2021,22,10,
Connecticut,2021,23,10,
Connecticut,2021,24,,
Connecticut,2021,25,,
Connecticut,2021,26,,
Connecticut,2021,27,,
Connecticut,2021,28,,
Connecticut,2021,29,,
Connecticut,2021,30,,
Connecticut,2021,31,14,13
Connecticut,2021,32,25,22
Connecticut,2021,33,22,20
Connecticut,2021,34,38,32
Connecticut,2021,35,25,21
Connecticut,2021,36,14,14
Connecticut,2021,37,14,13
Connecticut,2021,38,,
Delaware,2020,1,0,0
Delaware,2020,2,0,0
Delaware,2020,3,0,0
Delaware,2020,4,0,0
Delaware,2020,5,0,0
Delaware,2020,6,0,0
Delaware,2020,7,0,0
Delaware,2020,8,0,0
Delaware,2020,9,0,0
Delaware,2020,10,0,0
Delaware,2020,11,0,0
Delaware,2020,12,0,0
Delaware,2020,13,,
Delaware,2020,14,,
Delaware,2020,15,25,24
Delaware,2020,16,43,41
Delaware,2020,17,65,60
Delaware,2020,18,76,73
Delaware,2020,19,65,65
Delaware,2020,20,81,77
Delaware,2020,21,51,48
Delaware,2020,22,51,47
Delaware,2020,23,25,25
Delaware,2020,24,22,16
Delaware,2020,25,14,
Delaware,2020,26,10,
Delaware,2020,27,,
Delaware,2020,28,,
Delaware,2020,29,,
Delaware,2020,30,10,
Delaware,2020,31,,
Delaware,2020,32,,
Delaware,2020,33,,
Delaware,2020,34,,
Delaware,2020,35,,
Delaware,2020,36,,
Delaware,2020,37,,
Delaware,2020,38,,
Delaware,2020,39,,
Delaware,2020,40,13,12
Delaware,2020,41,12,12
Delaware,2020,42,17,13
Delaware,2020,43,20,17
Delaware,2020,44,25,24
Delaware,2020,45,16,16
Delaware,2020,46,18,13
Delaware,2020,47,24,20
Delaware,2020,48,28,25
Delaware,2020,49,42,35
Delaware,2020,50,52,45
Delaware,2020,51,69,60
Delaware,2020,52,77,71
Delaware,2020,53,71,62
Delaware,2021,1,66,63
Delaware,2021,2,79,68
Delaware,2021,3,90,82
Delaware,2021,4,65,58
Delaware,2021,5,51,41
Delaware,2021,6,51,43
Delaware,2021,7,22,19
Delaware,2021,8,25,23
Delaware,2021,9,22,17
Delaware,2021,10,24,22
Delaware,2021,11,12,12
Delaware,2021,12,10,
Delaware,2021,13,11,
Delaware,2021,14,19,14
Delaware,2021,15,22,15
Delaware,2021,16,10,
Delaware,2021,17,16,11
Delaware,2021,18,12,
Delaware,2021,19,11,
Delaware,2021,20,,
Delaware,2021,21,,
Delaware,2021,22,,
Delaware,2021,23,,
Delaware,2021,24,,
Delaware,2021,25,,
Delaware,2021,26,,
Delaware,2021,27,,
Delaware,2021,28,,
Delaware,2021,29,,
Delaware,2021,30,,
Delaware,2021,31,,
Delaware,2021,32,,
Delaware,2021,33,19,16
Delaware,2021,34,16,15
Delaware,2021,35,16,16
Delaware,2021,36,23,18
Delaware,2021,37,30,28
Delaware,2021,38,14,13
District of Columbia,2020,1,0,0
District of Columbia,2020,2,0,0
District of Columbia,2020,3,0,0
District of Columbia,2020,4,0,0
District of Columbia,2020,5,0,0
District of Columbia,2020,6,0,0
District of Columbia,2020,7,0,0
District of Columbia,2020,8,0,0
District of Columbia,2020,9,0,0
District of Columbia,2020,10,0,0
District of Columbia,2020,11,0,0
District of Columbia,2020,12,,
District of Columbia,2020,13,,
District of Columbia,2020,14,25,25
District of Columbia,2020,15,37,37
District of Columbia,2020,16,59,59
District of Columbia,2020,17,90,90
District of Columbia,2020,18,75,74
District of Columbia,2020,19,86,86
District of Columbia,2020,20,71,71
District of Columbia,2020,21,49,46
District of Columbia,2020,22,42,42
District of Columbia,2020,23,38,36
District of Columbia,2020,24,30,30
District of Columbia,2020,25,28,25
District of Columbia,2020,26,19,18
District of Columbia,2020,27,16,13
District of Columbia,2020,28,,
District of Columbia,2020,29,13,10
District of Columbia,2020,30,,
District of Columbia,2020,31,10,
District of Columbia,2020,32,,
District of Columbia,2020,33,,
District of Columbia,2020,34,11,10
District of Columbia,2020,35,,
District of Columbia,2020,36,,
District of Columbia,2020,37,,
District of Columbia,2020,38,,
District of Columbia,2020,39,,
District of Columbia,2020,40,10,
District of Columbia,2020,41,14,12
District of Columbia,2020,42,,
District of Columbia,2020,43,,
District of Columbia,2020,44,,
District of Columbia,2020,45,12,
District of Columbia,2020,46,10,
District of Columbia,2020,47,16,16
District of Columbia,2020,48,15,12
District of Columbia,2020,49,20,17
District of Columbia,2020,50,21,19
District of Columbia,2020,51,34,28
District of Columbia,2020,52,40,36
District of Columbia,2020,53,36,33
District of Columbia,2021,1,37,33
District of Columbia,2021,2,41,29
District of Columbia,2021,3,37,22
District of Columbia,2021,4,50,41
District of Columbia,2021,5,43,31
District of Columbia,2021,6,32,18
District of Columbia,2021,7,23,17
District of Columbia,2021,8,29,24
District of Columbia,2021,9,22,17
District of Columbia,2021,10,13,
District of Columbia,2021,11,10,
District of Columbia,2021,12,12,11
District of Columbia,2021,13,16,14
District of Columbia,2021,14,16,12
District of Columbia,2021,15,19,16
District of Columbia,2021,16,12,11
District of Columbia,2021,17,,
District of Columbia,2021,18,,
District of Columbia,2021,19,14,10
District of Columbia,2021,20,11,10
District of Columbia,2021,21,,
District of Columbia,2021,22,,
District of Columbia,2021,23,,
District of Columbia,2021,24,,
District of Columbia,2021,25,,
District of Columbia,2021,26,,
District of Columbia,2021,27,,
District of Columbia,2021,28,,
District of Columbia,2021,29,,
District of Columbia,2021,30,,
District of Columbia,2021,31,,
District of Columbia,2021,32,,
District of Columbia,2021,33,13,12
District of Columbia,2021,34,10,10
District of Columbia,2021,35,11,11
District of Columbia,2021,36,,
District of Columbia,2021,37,,
District of Columbia,2021,38,0,0
Florida,2020,1,0,0
Florida,2020,2,0,0
Florida,2020,3,0,0
Florida,2020,4,0,0
Florida,2020,5,0,0
Florida,2020,6,0,0
Florida,2020,7,0,0
Florida,2020,8,0,0
Florida,2020,9,0,0
Florida,2020,10,,
Florida,2020,11,,
Florida,2020,12,17,16
Florida,2020,13,93,91
Florida,2020,14,219,210
Florida,2020,15,305,288
Florida,2020,16,311,297
Florida,2020,17,326,294
Florida,2020,18,308,279
Florida,2020,19,290,257
Florida,2020,20,257,219
Florida,2020,21,236,200
Florida,2020,22,230,193
Florida,2020,23,223,172
Florida,2020,24,193,162
Florida,2020,25,221,192
Florida,2020,26,324,270
Florida,2020,27,466,410
Florida,2020,28,785,703
Florida,2020,29,1185,1064
Florida,2020,30,1416,1267
Florida,2020,31,1514,1362
Florida,2020,32,1405,1256
Florida,2020,33,1185,1058
Florida,2020,34,960,863
Florida,2020,35,808,725
Florida,2020,36,658,581
Florida,2020,37,525,461
Florida,2020,38,436,384
Florida,2020,39,424,361
Florida,2020,40,321,288
Florida,2020,41,338,291
Florida,2020,42,332,296
Florida,2020,43,292,262
Florida,2020,44,309,266
Florida,2020,45,304,268
Florida,2020,46,402,368
Florida,2020,47,406,358
Florida,2020,48,499,447
Florida,2020,49,594,527
Florida,2020,50,584,533
Florida,2020,51,659,595
Florida,2020,52,784,716
Florida,2020,53,950,855
Florida,2021,1,1064,970
Florida,2021,2,1239,1118
Florida,2021,3,1221,1123
Florida,2021,4,1068,953
Florida,2021,5,1038,945
Florida,2021,6,879,802
Florida,2021,7,730,647
Florida,2021,8,603,528
Florida,2021,9,525,462
Florida,2021,10,440,384
Florida,2021,11,397,351
Florida,2021,12,349,296
Florida,2021,13,361,321
Florida,2021,14,306,263
Florida,2021,15,343,298
Florida,2021,16,389,345
Florida,2021,17,343,309
Florida,2021,18,351,310
Florida,2021,19,324,288
Florida,2021,20,286,253
Florida,2021,21,241,209
Florida,2021,22,264,241
Florida,2021,23,195,168
Florida,2021,24,182,163
Florida,2021,25,161,137
Florida,2021,26,185,151
Florida,2021,27,216,195
Florida,2021,28,301,275
Florida,2021,29,473,423
Florida,2021,30,889,832
Florida,2021,31,1484,1368
Florida,2021,32,2119,1991
Florida,2021,33,2583,2440
Florida,2021,34,2765,2620
Florida,2021,35,2705,2545
Florida,2021,36,2199,2058
Florida,2021,37,1604,1495
Florida,2021,38,957,897
Georgia,2020,1,0,0
Georgia,2020,2,0,0
Georgia,2020,3,0,0
Georgia,2020,4,0,0
Georgia,2020,5,0,0
Georgia,2020,6,0,0
Georgia,2020,7,,0
Georgia,2020,8,0,0
Georgia,2020,9,0,0
